student_id,roll_no,full_name,true_archetype,overall_rate,day_std,min_day_rate,biggest_drop,max_streak,is_anomaly,anomaly_type,anomaly_raw_score
62,COSC-2311221-062,Gerald Hensley,chronic_low,0.4666666666666667,0.13888444437333106,0.2,-0.6666666666666667,7,1,long_absence_streak,-0.5939336692110955
80,COSC-2311221-080,Lisa Barnes,chronic_low,0.5555555555555556,0.1440850229106429,0.26666666666666666,-0.3333333333333333,3,1,chronic_low,-0.5792803962366455
21,COSC-2311221-021,Margaret Hawkins DDS,day_quirk,0.65,0.30441200151549,0.06666666666666667,-0.125,4,1,day_quirk (Monday),-0.578756811850784
39,COSC-2311221-039,Elizabeth Fowler,chronic_low,0.39166666666666666,0.06463573143221772,0.3,-0.375,8,1,long_absence_streak,-0.5705767133557067
77,COSC-2311221-077,Angela Lopez,chronic_low,0.45555555555555555,0.11164317055182639,0.3333333333333333,-0.6666666666666666,8,1,long_absence_streak,-0.5649506739943487
85,COSC-2311221-085,Zachary Ferrell,chronic_low,0.43333333333333335,0.038873012632301994,0.4,-0.3333333333333333,9,1,long_absence_streak,-0.564810863002087
8,COSC-2311221-008,Gina Moore,declining,0.6777777777777778,0.11871742568171627,0.5,-0.5,4,1,mid_semester_drop,-0.5608739476011807
44,COSC-2311221-044,Anthony Humphrey,day_quirk,0.5888888888888889,0.2872947469149728,0.1,-0.33333333333333337,3,1,day_quirk (Monday),-0.5545071493775928
89,COSC-2311221-089,Lisa Archer,declining,0.4888888888888889,0.02474561939035565,0.4666666666666667,-0.5,6,1,mid_semester_drop,-0.5524593363482916
28,COSC-2311221-028,Stephanie Ross,declining,0.5,0.0573488351136175,0.4,-0.5,8,1,late_semester_drop,-0.546103884550213
35,COSC-2311221-035,Debra Davidson,day_quirk,0.86,0.2675356212581332,0.26666666666666666,-0.19999999999999996,3,1,day_quirk (Friday),-0.5460605390480564
13,COSC-2311221-013,Lisa Hensley,day_quirk,0.8111111111111111,0.2969474326842679,0.2,-0.16666666666666674,2,1,day_quirk (Monday),-0.5458943699774159
20,COSC-2311221-020,Carla Gray,chronic_low,0.4666666666666667,0.09043106644167023,0.3333333333333333,-0.5,9,1,long_absence_streak,-0.5449211608576181
92,COSC-2311221-092,Brian Rodriguez,day_quirk,0.6933333333333334,0.3040467800264368,0.1,-0.20000000000000007,3,1,day_quirk (Monday),-0.5435081036114003
2,COSC-2311221-002,Noah Rhodes,chronic_low,0.5222222222222223,0.06478835438717,0.4666666666666667,-0.8333333333333334,7,1,long_absence_streak,-0.540116498548011
22,COSC-2311221-022,Patty Perez,day_quirk,0.6933333333333334,0.24498929177908932,0.23333333333333334,-0.4,4,1,general_anomaly,-0.5376541019154678
94,COSC-2311221-094,Christina Walters,declining,0.5933333333333334,0.07356864603220821,0.4666666666666667,-0.4,10,1,late_semester_drop,-0.5352958111846295
66,COSC-2311221-066,Amber Kidd,declining,0.6666666666666666,0.04714045207910316,0.6,-0.33333333333333337,6,1,mid_semester_drop,-0.5349524253108918
9,COSC-2311221-009,Gabrielle Davis,day_quirk,0.7555555555555555,0.28970823978190696,0.13333333333333333,-0.5,2,1,day_quirk (Monday),-0.5328923959082196
53,COSC-2311221-053,Crystal Robinson,declining,0.6833333333333333,0.05374838498865702,0.6,-0.625,5,1,late_semester_drop,-0.532782009170879
42,COSC-2311221-042,Fred Smith,chronic_low,0.49333333333333335,0.08737601445038888,0.36666666666666664,-0.39999999999999997,4,0,normal,-0.5300282474675831
40,COSC-2311221-040,Brittany Farmer,declining,0.6333333333333333,0.04988876515698588,0.6,-0.6666666666666667,5,0,normal,-0.5214547418963936
46,COSC-2311221-046,Philip Cannon,declining,0.64,0.08030804888707849,0.5777777777777777,-0.5,6,0,normal,-0.5160381368133141
99,COSC-2311221-099,Jessica Smith,declining,0.5866666666666667,0.10241527663824812,0.4666666666666667,-0.6000000000000001,6,0,normal,-0.515453257892882
96,COSC-2311221-096,Anna Henderson,day_quirk,0.7533333333333333,0.26419222332271164,0.23333333333333334,-0.30000000000000004,5,0,normal,-0.5143332557094322
87,COSC-2311221-087,Shirley Suarez,chronic_low,0.46,0.06725664866854023,0.4,-0.39999999999999997,5,0,normal,-0.5113511856818487
88,COSC-2311221-088,Christopher Bass,chronic_low,0.5111111111111111,0.09609665915750956,0.3333333333333333,-0.5,8,0,normal,-0.5113067340531088
45,COSC-2311221-045,Angelica Tucker,day_quirk,0.7833333333333333,0.24073960113690385,0.26666666666666666,-0.375,2,0,normal,-0.5096943332657624
97,COSC-2311221-097,Aaron Wise,declining,0.5833333333333334,0.08692269873603531,0.43333333333333335,-0.625,5,0,normal,-0.507561481819688
38,COSC-2311221-038,Cassandra Gaines,declining,0.6666666666666666,0.1092284953550623,0.4666666666666667,-0.39999999999999997,5,0,normal,-0.5068584458845903
79,COSC-2311221-079,Steve Sanchez,reliable,0.975,0.024745619390355647,0.9333333333333333,-0.125,1,0,normal,-0.5051974066636434
30,COSC-2311221-030,Anthony Rodriguez,chronic_low,0.5266666666666666,0.09797958971132709,0.4,-0.30000000000000004,6,0,normal,-0.5013551127204176
33,COSC-2311221-033,Tricia Valencia,declining,0.7333333333333333,0.0843274042711568,0.6,-0.5,3,0,normal,-0.49934577103084854
47,COSC-2311221-047,John Pierce,chronic_low,0.5111111111111111,0.09043106644167022,0.43333333333333335,-0.3333333333333333,5,0,normal,-0.491322785951487
43,COSC-2311221-043,Sherry Decker,declining,0.6133333333333333,0.04797118476649533,0.5333333333333333,-0.39999999999999997,5,0,normal,-0.4874360628607612
27,COSC-2311221-027,Justin Baker,chronic_low,0.62,0.0911923756830364,0.5,-0.30000000000000004,4,0,normal,-0.48440449120544526
72,COSC-2311221-072,Whitney Peters,reliable,0.8916666666666667,0.14452988925785867,0.6,-0.25,2,0,normal,-0.4825002664985771
12,COSC-2311221-012,Jamie Arnold,declining,0.6266666666666667,0.05461424767753114,0.5777777777777777,-0.5,6,0,normal,-0.4819012726863771
24,COSC-2311221-024,Tommy Walter,chronic_low,0.5777777777777777,0.06440611887195305,0.4666666666666667,-0.33333333333333337,3,0,normal,-0.48129200956092794
37,COSC-2311221-037,Sherri Baker,declining,0.6133333333333333,0.07118052168020873,0.4666666666666667,-0.5,7,0,normal,-0.48017042094723367
54,COSC-2311221-054,Mark Perez,reliable,0.85,0.04216370213557838,0.8,-0.375,6,0,normal,-0.47103056292155543
3,COSC-2311221-003,Angie Henderson,chronic_low,0.6866666666666666,0.06182412330330471,0.6,-0.4,3,0,normal,-0.46843697730969897
59,COSC-2311221-059,Brent Jordan,reliable,0.8777777777777778,0.09838197164968294,0.6666666666666666,-0.5,2,0,normal,-0.45279397537281424
84,COSC-2311221-084,Paul Jones,reliable,0.9416666666666667,0.06899633198337787,0.8,-0.125,1,0,normal,-0.45081521034789507
64,COSC-2311221-064,Donald Wright,reliable,0.9444444444444444,0.03912625969257557,0.9,-0.16666666666666663,1,0,normal,-0.4506942537901357
17,COSC-2311221-017,Holly Wood,reliable,0.9416666666666667,0.044221663871405324,0.8666666666666667,-0.25,2,0,normal,-0.44928522832593015
60,COSC-2311221-060,John Daniel,reliable,0.9555555555555556,0.0387457683870282,0.9,-0.16666666666666663,1,0,normal,-0.44392497441591006
41,COSC-2311221-041,Paula Moreno,reliable,0.8,0.04216370213557842,0.7333333333333333,-0.33333333333333337,2,0,normal,-0.44224827936376204
34,COSC-2311221-034,Nathan Maldonado,reliable,0.9333333333333333,0.0,0.9333333333333333,-0.33333333333333337,2,0,normal,-0.4419034525989354
74,COSC-2311221-074,Lauren Daniels,reliable,0.84,0.08479459568150631,0.7333333333333333,-0.30000000000000004,2,0,normal,-0.4394463874593083
76,COSC-2311221-076,Sarah Moore,reliable,0.8333333333333334,0.08955307413159948,0.7555555555555555,-0.375,2,0,normal,-0.4324539260817426
63,COSC-2311221-063,Connor West,reliable,0.875,0.10666666666666669,0.6666666666666666,-0.125,2,0,normal,-0.4322192663721121
57,COSC-2311221-057,Timothy Duncan,reliable,0.9,0.049491238780711294,0.8,-0.33333333333333337,1,0,normal,-0.4296159344531333
82,COSC-2311221-082,Mike Allen,reliable,0.84,0.04898979485566355,0.8,-0.19999999999999996,4,0,normal,-0.4271943863603196
68,COSC-2311221-068,Carol Tucker,reliable,0.9533333333333334,0.04444444444444443,0.8666666666666667,-0.09999999999999998,2,0,normal,-0.42698071600607856
